model_key,family,params_b,tuning,tier,conflict_type,prompt_style,score_mode,n,mean,ci_low,ci_high,positive_fraction,t,p
qwen25_7b_instruct,Qwen,7.0,instruct,large_7b,arbitrary_semantic_remapping,definition_scope,mean_logprob,36.0,3.930124759674073,3.0415807994427504,4.753778239753512,0.9166666666666666,9.043103471886365,1.1006873723971765e-10
qwen25_7b_instruct,Qwen,7.0,instruct,large_7b,arbitrary_semantic_remapping,game_rule,sum_logprob,36.0,2.422310198898669,1.3214011412251887,3.4805616862520026,0.75,4.360809540548149,0.00010862903787320619
qwen25_7b_instruct,Qwen,7.0,instruct,large_7b,arbitrary_semantic_remapping,game_rule,mean_logprob,36.0,2.422310198898669,1.3214011412251887,3.4805616862520026,0.75,4.360809540548149,0.00010862903787320619
qwen25_7b_instruct,Qwen,7.0,instruct,large_7b,arbitrary_semantic_remapping,glossary,sum_logprob,36.0,2.5953294325757907,1.744044534199768,3.409320619923097,0.9166666666666666,5.9326748512857925,9.470147391079296e-07
qwen25_7b_instruct,Qwen,7.0,instruct,large_7b,arbitrary_semantic_remapping,glossary,mean_logprob,36.0,2.5953294325757907,1.744044534199768,3.409320619923097,0.9166666666666666,5.9326748512857925,9.470147391079296e-07
qwen25_7b_instruct,Qwen,7.0,instruct,large_7b,arbitrary_semantic_remapping,technical_document,sum_logprob,36.0,0.6337234179178873,0.3611524456077152,0.901150200764338,0.8055555555555556,4.4474522246000285,8.404437473019606e-05
qwen25_7b_instruct,Qwen,7.0,instruct,large_7b,arbitrary_semantic_remapping,technical_document,mean_logprob,36.0,0.6337234179178873,0.3611524456077152,0.901150200764338,0.8055555555555556,4.4474522246000285,8.404437473019606e-05
qwen25_7b_instruct,Qwen,7.0,instruct,large_7b,polysemy_entity_remapping,definition_scope,sum_logprob,30.0,1.0320597701602514,0.21708874636226225,1.8491172454092248,0.6666666666666666,2.444914867614148,0.020799278348492406
qwen25_7b_instruct,Qwen,7.0,instruct,large_7b,polysemy_entity_remapping,definition_scope,mean_logprob,30.0,1.0320597701602514,0.21708874636226225,1.8491172454092248,0.6666666666666666,2.444914867614148,0.020799278348492406
qwen25_7b_instruct,Qwen,7.0,instruct,large_7b,polysemy_entity_remapping,game_rule,sum_logprob,30.0,6.810389584965176,4.834547447628444,8.877039930555556,0.9666666666666667,6.529090211002802,3.7721049990684717e-07
qwen25_7b_instruct,Qwen,7.0,instruct,large_7b,polysemy_entity_remapping,game_rule,mean_logprob,30.0,6.810389584965176,4.834547447628444,8.877039930555556,0.9666666666666667,6.529090211002802,3.7721049990684717e-07
qwen25_7b_instruct,Qwen,7.0,instruct,large_7b,polysemy_entity_remapping,glossary,sum_logprob,30.0,5.2569701910018924,3.6884276784128622,6.9348211016257615,1.0,6.182827703428816,9.65731389308397e-07
qwen25_7b_instruct,Qwen,7.0,instruct,large_7b,polysemy_entity_remapping,glossary,mean_logprob,30.0,5.2569701910018924,3.6884276784128622,6.9348211016257615,1.0,6.182827703428816,9.65731389308397e-07
qwen25_7b_instruct,Qwen,7.0,instruct,large_7b,polysemy_entity_remapping,technical_document,sum_logprob,30.0,0.4443046145968968,0.12247573879030012,0.745309333006541,0.7666666666666667,2.763425489838774,0.009831553263292001
qwen25_7b_instruct,Qwen,7.0,instruct,large_7b,polysemy_entity_remapping,technical_document,mean_logprob,30.0,0.4443046145968968,0.12247573879030012,0.745309333006541,0.7666666666666667,2.763425489838774,0.009831553263292001
qwen25_7b_instruct,Qwen,7.0,instruct,large_7b,domain_definition_remapping,definition_scope,sum_logprob,30.0,1.8189809693230523,0.9669117034806145,2.724456275171704,0.7333333333333333,4.0596266771720755,0.00034018104141821456
qwen25_7b_instruct,Qwen,7.0,instruct,large_7b,domain_definition_remapping,definition_scope,mean_logprob,30.0,1.8189809693230523,0.9669117034806145,2.724456275171704,0.7333333333333333,4.0596266771720755,0.00034018104141821456
qwen25_7b_instruct,Qwen,7.0,instruct,large_7b,domain_definition_remapping,game_rule,sum_logprob,30.0,4.895549286736382,3.1187620494763055,6.898251442644331,0.8333333333333334,4.904511767216945,3.3076218767877796e-05
qwen25_7b_instruct,Qwen,7.0,instruct,large_7b,domain_definition_remapping,game_rule,mean_logprob,30.0,4.895549286736382,3.1187620494763055,6.898251442644331,0.8333333333333334,4.904511767216945,3.3076218767877796e-05
qwen25_7b_instruct,Qwen,7.0,instruct,large_7b,domain_definition_remapping,glossary,sum_logprob,30.0,3.8894844849904384,2.643898739152484,5.198981663121119,0.9,5.7346726899131975,3.3059406846995516e-06
qwen25_7b_instruct,Qwen,7.0,instruct,large_7b,domain_definition_remapping,glossary,mean_logprob,30.0,3.8894844849904384,2.643898739152484,5.198981663121119,0.9,5.7346726899131975,3.3059406846995516e-06
qwen25_7b_instruct,Qwen,7.0,instruct,large_7b,domain_definition_remapping,technical_document,sum_logprob,30.0,0.3036673333909777,-0.04636940929624768,0.6647075210677257,0.6333333333333333,1.6372602766998463,0.11238355207449917
qwen25_7b_instruct,Qwen,7.0,instruct,large_7b,domain_definition_remapping,technical_document,mean_logprob,30.0,0.3036673333909777,-0.04636940929624768,0.6647075210677257,0.6333333333333333,1.6372602766998463,0.11238355207449917
gemma2_9b_base,Gemma,9.0,base,large_7b9b,antonym_remapping,definition_scope,sum_logprob,80.0,0.6099567284186682,0.016181742971142173,1.1233030673116446,0.6125,2.1790296928604005,0.03230942807549338
gemma2_9b_base,Gemma,9.0,base,large_7b9b,antonym_remapping,definition_scope,mean_logprob,80.0,0.6824282879630725,0.19318362172693013,1.1487772980953257,0.6,2.828212002302084,0.005929598072603876
gemma2_9b_base,Gemma,9.0,base,large_7b9b,antonym_remapping,game_rule,sum_logprob,80.0,0.5881746381521225,-0.14962992310523995,1.2995792775104449,0.55,1.6006640374172147,0.11344301564755588
gemma2_9b_base,Gemma,9.0,base,large_7b9b,antonym_remapping,game_rule,mean_logprob,80.0,0.5485511148969332,-0.19242498303453137,1.264963729257385,0.5375,1.4787983930423088,0.14317061109799373
gemma2_9b_base,Gemma,9.0,base,large_7b9b,antonym_remapping,glossary,sum_logprob,80.0,1.7420250999430817,1.2813733322670062,2.1818967093651493,0.825,7.533099616386537,7.035912064010759e-11
