model_key,scan_type,component_type,layer,head,name,recovery,target_delta,distractor_delta,is_nondegenerate_component
olmo_1b_base,writer_source_positions,mlp,4,-1,L4MLP,0.0019143737952282006,0.043573588132858276,0.039901599287986755,True
olmo_1b_base,writer_source_positions,attn_head,5,0,L5H0,-0.0027978323294037695,-0.007945507764816284,-0.002578943967819214,True
olmo_1b_base,writer_source_positions,attn_head,5,1,L5H1,0.008934762070752039,0.01660802960395813,-0.0005298703908920288,True
olmo_1b_base,writer_source_positions,attn_head,5,2,L5H2,0.003929607960565716,-0.008943140506744385,-0.01648057997226715,True
olmo_1b_base,writer_source_positions,attn_head,5,3,L5H3,-0.005379758365494893,0.0044186413288116455,0.014737635850906372,True
olmo_1b_base,writer_source_positions,attn_head,5,4,L5H4,-0.0017206003829477842,-0.010391682386398315,-0.0070913732051849365,True
olmo_1b_base,writer_source_positions,attn_head,5,5,L5H5,-0.003779129229223389,0.00798177719116211,0.015230581164360046,True
olmo_1b_base,writer_source_positions,attn_head,5,6,L5H6,0.0003417040267471478,0.009067773818969727,0.008412346243858337,True
olmo_1b_base,writer_source_positions,attn_head,5,7,L5H7,0.0011980344385764386,0.0017369389533996582,-0.0005610287189483643,True
olmo_1b_base,writer_source_positions,attn_head,5,8,L5H8,-0.03365449446254583,-0.022697508335113525,0.04185567796230316,True
olmo_1b_base,writer_source_positions,attn_head,5,9,L5H9,0.004157081772255684,0.009647637605667114,0.001673877239227295,True
olmo_1b_base,writer_source_positions,attn_head,5,10,L5H10,0.0006056904887886353,0.0035831332206726074,0.002421349287033081,True
olmo_1b_base,writer_source_positions,attn_head,5,11,L5H11,0.009840493321642035,0.020730286836624146,0.0018550902605056763,True
olmo_1b_base,writer_source_positions,attn_head,5,12,L5H12,0.0006725241762299384,0.00548979640007019,0.004199817776679993,True
olmo_1b_base,writer_source_positions,attn_head,5,13,L5H13,0.0023367241673581413,-0.009568065404891968,-0.01405017077922821,True
olmo_1b_base,writer_source_positions,attn_head,5,14,L5H14,-0.004151775784981197,-0.017741501331329346,-0.009777918457984924,True
olmo_1b_base,writer_source_positions,attn_head,5,15,L5H15,-0.0009238477403835584,-0.002073943614959717,-0.0003018975257873535,True
olmo_1b_base,writer_source_positions,mlp,5,-1,L5MLP,-0.04200209427240038,0.011750131845474243,0.09231497347354889,True
olmo_1b_base,writer_source_positions,attn_head,6,0,L6H0,-0.003651762228688673,0.0017202794551849365,0.008724778890609741,True
olmo_1b_base,writer_source_positions,attn_head,6,1,L6H1,-0.0005037347391687747,-0.001465827226638794,-0.0004996061325073242,True
olmo_1b_base,writer_source_positions,attn_head,6,2,L6H2,-0.005902704973667776,-0.014336973428726196,-0.0030149072408676147,True
olmo_1b_base,writer_source_positions,attn_head,6,3,L6H3,-0.004327650229940358,-0.0028928816318511963,0.005408048629760742,True
olmo_1b_base,writer_source_positions,attn_head,6,4,L6H4,0.014326025805432166,0.016557395458221436,-0.010921567678451538,True
olmo_1b_base,writer_source_positions,attn_head,6,5,L6H5,0.0027319930290358695,0.0028593242168426514,-0.00238095223903656,True
olmo_1b_base,writer_source_positions,attn_head,6,6,L6H6,-0.00695706601743549,-0.011487036943435669,0.0018574148416519165,True
